"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "JSON with Comments", "TypeScript", "Markdown", "comment", "blank", "total"
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.css", "CSS", 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.html", "HTML", 0, 0, 77, 0, 0, 0, 0, 16, 6, 99
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.ts", "TypeScript", 0, 0, 0, 0, 0, 72, 0, 0, 7, 79
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.css", "CSS", 0, 121, 0, 0, 0, 0, 0, 18, 12, 151
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.html", "HTML", 0, 0, 105, 0, 0, 0, 0, 0, 3, 108
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\index.html", "HTML", 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
